Location,distance_from_Beijing,population,Total_route_length_m,travel_time_S
Kelamayishi_650200,0.0,289780.22494870424,3415761.9279999956,77417.29999999986
Changjihuizuzizhizhou_652300,0.0,3123685.631520614,2963250.761999995,67553.10000000002
Boertalamengguzizhizhou_652700,88367.46787347808,464228.562254548,3497331.6099999957,80179.59999999993
Shihezishi_659001,109958.03804777205,567232.1615432501,3150977.4269999964,71198.89999999992
Aleitaidiqu_654300,132052.32145394702,665286.8605658114,3308804.526999996,73456.49999999981
Yilihasakezizhizhou_654000,145920.18946284146,2398408.0038330555,3558536.144999997,79083.79999999993
Bayinguolengmengguzizhizhou_652800,181714.7961977727,1557057.9313901665,3665154.917999997,79603.39999999992
Akesudiqu_652900,336400.0634661042,2834335.222719312,3891544.5219999948,85478.69999999995
Tulufanshi_650400,344028.37161141774,703923.1044078171,2746731.6509999973,67576.90000000002
Hamishi_650500,633619.1185324708,665927.6035458893,2379135.6199999987,54786.19999999991
Hetiandiqu_653200,786534.3362968535,2409086.505001188,4190827.5809999947,88798.69999999994
Kezileisukeerkezizizhizhou_653000,854140.8496933667,715692.4933770894,4358550.889999993,91407.69999999991
Kashidiqu_653100,876421.6062890553,4737869.877841413,4399955.147999986,90213.19999999991
Jiuquanshi_620900,1078101.6106655838,1210099.8064924255,2342556.3559999987,58037.99999999982
Haiximengguzuzangzuzizhizhou_632800,1094433.5967877298,722464.8529003263,2626084.8029999994,68474.79999999994
Alashanmeng_152900,1338003.360418285,298964.8749966826,1521831.9360000002,44476.79999999987
Zhangyeshi_620700,1582086.5566255916,1146701.8943299055,2203266.606999998,53304.59999999985
Jiayuguanshi_620200,1607470.124268333,284589.6789858043,2165296.1730000004,51920.69999999988
Guoluozangzuzizhizhou_632600,1931312.192064948,230336.3936291933,2579484.560999999,66401.8999999999
Hainanzangzuzizhizhou_632500,1939545.0253761471,524489.9839630127,2030415.4549999998,47394.09999999988
Jinchangshi_620300,2039557.8887115608,476982.3227905631,1755866.6500000001,37701.99999999992
Xiningshi_630100,2065235.8676047607,2647902.21474123,1976095.9589999993,45541.699999999866
Haidongshi_630200,2179291.2998129283,1392483.8983876703,1766529.638,37988.999999999935
Huangnanzangzuzizhizhou_632300,2202606.947690122,323114.5818274021,1929244.9299999992,43803.69999999985
Bayannaoershi_150800,2240799.648799864,1650138.55654791,969419.5279999995,20585.99999999999
Lanzhoushi_620100,2293821.146621597,4106425.199535311,1630657.4750000006,32367.999999999993
Gannanzangzuzizhizhou_623000,2307402.009141705,726061.2006382942,2617169.6419999963,44297.699999999975
Baiyinshi_620400,2335111.018705401,1733323.0737644732,1521664.5770000003,28625.200000000008
Zhongweishi_640500,2387933.409636614,1072537.156352669,1385916.0310000004,24582.90000000001
Dingxishi_621100,2417517.308936025,2655485.24068141,1831725.5799999998,37121.59999999991
Abazangzuqiangzuzizhizhou_513200,2441820.6228993274,954467.3792188764,2399374.9219999975,40219.59999999997
Yinchuanshi_640100,2464606.999178319,2404075.646860242,1229716.2230000012,22183.10000000003
Shizuishanshi_640200,2466948.487301408,754228.2801419795,1154835.5420000013,20830.300000000032
Eerduosishi_150600,2475187.345457168,2749650.737619549,909388.2610000002,15996.200000000019
Wuzhongshi_640300,2489064.078872421,1582394.940980941,1264594.919000001,23695.000000000025
Wuhaishi_150300,2489757.781329006,684964.1943908631,1089963.797000001,19843.600000000017
Guyuanshi_640400,2508578.889024148,1543676.95398283,1531463.6750000005,29224.80000000001
Longnanshi_621200,2599802.492458714,2574861.509556532,1739533.2480000004,32240.899999999976
Tianshuishi_620500,2600866.606985052,3262645.157170773,1688529.4230000002,31516.599999999973
Pingliangshi_620800,2626761.2734190635,2021499.423143864,1643549.808,28206.599999999966
Qingyangshi_621000,2645486.7341929907,2025975.709099412,1333322.465000001,25436.600000000006
Baotoushi_150200,2656246.635353337,3114012.558115214,699719.9799999994,19154.599999999984
Mianyangshi_510700,2687583.670486138,4170227.361711621,2072810.8770000006,34521.99999999994
Yananshi_610600,2748952.419068913,2325161.561426282,1083278.8650000002,19203.700000000008
Wulanchabushi_150900,2755350.435083092,1994853.7794875205,570863.0739999998,16172.999999999995
Yaanshi_511800,2760698.346707267,1488820.9625971315,2381208.208999998,40673.59999999996
Baojishi_610300,2765436.836196775,3886630.2803583145,1501911.0990000002,25509.699999999986
Guangyuanshi_510800,2776012.3328103954,2020670.497317433,1904417.564000001,33340.799999999974
Liangshanyizuzizhizhou_513400,2791822.322270757,5421746.6596438885,2721177.6779999966,46394.69999999996
Chengdushi_510100,2797098.9643136524,17751779.347988844,2206295.100999997,36817.29999999997
Deyangshi_510600,2801618.2744597127,3477987.6077637672,2126902.2179999994,35103.799999999974
Huhehaoteshi_150100,2815646.914105651,3432674.6505264044,544264.2930000003,11940.899999999996
Hanzhongshi_610700,2818407.467287137,3458409.8001092672,1659059.5840000005,27651.89999999997
Xilinguoleimeng_152500,2821115.490483839,1123328.5076332986,664601.2359999996,14164.500000000004
Xianyangshi_610400,2864909.7742341384,5414396.659724474,1406430.002999999,25738.799999999985
Lijiangshi_530700,2869092.585152903,1348953.345793724,3656955.3920000056,72872.19999999982
Meishanshi_511400,2887977.733230626,2768210.6570940022,2335303.4569999967,39132.19999999996
Leshanshi_511100,2917307.966064014,3169027.786043405,2459354.169999999,41362.999999999985
Ziyangshi_512000,2930934.0938412286,2898271.193270684,2337289.1789999967,39512.19999999998
Nanchongshi_511300,2939188.136628332,5802755.708249569,1993060.7250000006,34736.799999999945
Bazhongshi_511900,2949624.102989355,3234391.2354586124,1904986.130000001,33968.69999999997
Suiningshi_510900,2956034.29343047,3057156.657436848,2202477.000999997,36555.99999999997
Xianshi_610100,2960624.355269206,9681851.763688087,1343335.2549999992,23331.000000000004
Xinzhoushi_140900,2966176.9483494894,3157592.1086147428,545874.1210000003,11266.000000000011
Tongchuanshi_610200,2966624.283530967,894127.6516155005,1257751.6549999996,21805.90000000003
Dalibaizuzizhizhou_532900,2968031.857619981,3682062.411503911,3494857.173000006,66730.89999999985
Neijiangshi_511000,2986663.0962917963,3304456.780974865,2379530.953999998,39671.199999999975
Baoshanshi_530500,2990635.1669509783,2632500.686042547,3732373.3130000057,74973.59999999983
Zigongshi_510300,3001836.2332749576,2330002.3104758263,2444532.0759999985,40274.89999999997
Ankangshi_610900,3006090.138687334,2588710.3768206835,1660036.1440000008,28222.299999999967
Panzhihuashi_510400,3011136.543008598,1349030.7313456538,2929374.321999998,51179.09999999998
Dehongdaizujingpozuzizhizhou_533100,3016802.4075523587,1388299.315829754,3890067.0340000046,80440.69999999991
Weinanshi_610500,3017939.565951164,5215835.680216908,1202353.2239999995,21575.600000000024
Linfenshi_141000,3029485.677388369,4931468.356818914,938868.5820000005,16796.400000000023
Shuozhoushi_140600,3034695.2147955354,2034386.60841614,466527.22800000047,9497.199999999999
Yibinshi_511500,3036718.569587103,4013824.277576685,2615041.674999997,43275.699999999975
Chongqingshi_500000,3058829.685052716,27165270.085970875,2017227.943,38074.09999999997
Zhaotongshi_530600,3061570.3768346505,5530025.939861298,2793001.640999997,48041.200000000004
Guanganshi_511600,3072788.596923672,2514047.4684634213,2099093.7369999983,36285.99999999994
Shangluoshi_611000,3072884.323558493,2327032.1188538074,1416777.2899999993,26225.099999999973
Taiyuanshi_140100,3074158.467388624,5378234.544834495,635155.3380000012,14775.900000000014
Dazhoushi_511700,3077340.908321665,5167790.527298927,1886788.4709999997,35162.89999999997
Datongshi_140200,3086030.725618121,3656573.1295926273,353301.11200000026,8357.9
Chuxiongyizuzizhizhou_532300,3092774.217575324,2871945.80852139,3341370.4640000025,61562.09999999976
Luzhoushi_510500,3122955.8741653017,4304963.202692032,2560227.4389999984,44165.09999999999
Yunchengshi_140800,3124070.618184418,5526741.49804306,1038008.9580000013,18376.50000000002
Jinzhongshi_140700,3132202.915497064,3525701.682365417,640523.1340000014,12444.5
Sanmenxiashi_411200,3170167.131768885,2136362.7679253817,1129766.638,20039.800000000017
Shiyanshi_420300,3176220.442765592,3259472.459747553,1445777.0449999976,27774.700000000037
Zhangjiakoushi_130700,3179207.4888494764,4520805.760648459,225132.86000000002,5645.100000000001
Bijieshi_520500,3180064.4476506,6649410.415569782,2786574.117999997,47294.89999999999
Kunmingshi_530100,3183120.5172250327,7153728.968851209,3170157.366000001,57863.89999999977
Zhangzhishi_140400,3194321.29852453,3532363.036386609,740277.7680000006,13523.400000000012
Zunyishi_520300,3211195.426035127,5751263.696414471,2456147.239,46005.99999999992
Yangquanshi_140300,3213223.012752584,1459445.156612873,510752.41900000087,10046.599999999991
Shijiazhuangshi_130100,3259719.7463101414,11160985.597645285,358179.46700000076,6847.099999999997
Luoyangshi_410300,3260067.372348749,6646800.268051624,1018843.2490000007,19968.00000000002
Jinchengshi_140500,3260574.16221411,2408313.896113038,826545.0370000001,14890.900000000023
Baodingshi_130600,3262387.2445218083,11856361.88596928,244837.538,4692.200000000001
Enshitujiazumiaozuzizhizhou_422800,3278227.535955053,2947687.5928754807,1815268.065,33047.899999999994
Yuxishi_530400,3295194.812226293,2547584.068433523,3321413.036,62838.299999999705
Jiyuanshi_419001,3295659.136838116,749297.0896630287,915177.1410000004,17270.300000000036
Liupanshuishi_520200,3297801.67853796,2924702.780293703,2969400.5290000015,55086.9999999998
Nanyangshi_411300,3298989.841410505,11086103.51118207,1135653.7160000007,19407.600000000017
Hulunbeiershi_150700,3302230.407123528,2563286.430618271,1840827.5279999997,39616.09999999997
Shennongjialinqu_429021,3341601.094373105,70375.50061941147,1576131.3759999974,26586.80000000003
Handanshi_130400,3348619.532531976,9896664.804241655,561370.4409999993,10103.59999999999
Xingtaishi_130500,3356262.073102811,7539623.478119612,498494.17700000043,9933.599999999995
Tongrenshi_520600,3363333.758830914,2939265.4247765546,2219268.2640000004,41063.499999999854
Jiaozuoshi_410800,3366916.784695225,3839205.417335033,836695.5909999998,15019.100000000019
Qianxinanbuyizumiaozuzizhizhou_522300,3379673.128566421,2776647.418962479,2894345.8750000037,51362.49999999983
Chengdeshi_130800,3393328.319114086,3642433.682631224,264754.77999999985,5917.399999999995
Honghehanizuyizuzizhizhou_532500,3394316.4916544366,4888527.863129616,3306345.441,63632.6999999997
Xiangyangshi_420600,3395030.180599284,5246549.135469675,1262757.7519999975,23345.40000000003
Guiyangshi_520100,3395351.475695246,4978425.026933193,2628981.2559999945,45013.199999999844
Anyangshi_410500,3395755.193178253,5181527.278662205,661708.400000001,12040.000000000007
Anshunshi_520400,3396230.857676578,2305711.7127785683,2732764.2019999987,47449.89999999987
Chifengshi_150400,3398900.5699904147,4173962.418392569,551010.7070000002,14744.50000000001
Yichangshi_420500,3400691.64909522,3928870.476340294,1538361.8309999974,28875.199999999968
Zhengzhoushi_410100,3402592.6332874987,11172920.86454725,844327.3189999996,16163.700000000033
Pingdingshanshi_410400,3404330.157344377,5002394.268591881,997671.0530000002,18224.300000000032
Xinxiangshi_410700,3409310.6743249283,6150867.286064147,753515.3540000003,14351.100000000019
Qiannanbuyizumiaozuzizhizhou_522700,3431968.5621118066,2971051.3430149555,2536167.5859999983,44850.49999999985
Xiangxitujiazumiaozuzizhizhou_433100,3441312.4048200524,2629783.5558753014,2074893.2139999995,35455.60000000004
Hebishi_410600,3445408.660818677,1785671.422355175,678797.9360000012,12477.900000000016
Xuchangshi_411000,3456022.7200833275,4585094.894495726,904907.5040000004,16845.500000000033
Zhangjiajieshi_430800,3456223.557739708,1423277.5759572985,1823556.148,37047.09999999998
Hengshuishi_131100,3463644.8550384897,4363990.025298834,355854.1719999995,6750.399999999998
Wenshanzhuangzumiaozuzizhizhou_532600,3470113.475051548,3792482.8464984894,3242209.9700000016,56934.399999999805
Baiseshi_451000,3481327.2613129835,3526983.76607132,3016784.4760000007,52488.39999999987
Qiandongnanmiaozudongzuzizhizhou_522600,3484561.522018459,3142338.81011796,2440879.6170000006,46169.49999999985
Langfangshi_131000,3493496.3088103207,4798291.1290819645,145582.08400000006,4771.700000000003
Cangzhoushi_130900,3495050.108944336,7542077.562909603,278055.538,5472.4000000000015
Changdeshi_430700,3498505.691394044,5734456.052826881,1656034.5759999987,29539.099999999973
Kaifengshi_410200,3526062.9072928024,4614262.798120499,793768.0109999992,16447.300000000025
Jingmenshi_420800,3529487.473551887,2671683.78477192,1430159.8929999976,24708.70000000001
Zhumadianshi_411700,3537072.389764535,7065749.60078156,1044487.2300000011,18894.300000000025
Puyangshi_410900,3541896.8613553606,3540003.829480171,655674.9439999993,12215.099999999999
Liaochengshi_371500,3545520.809927344,6361384.412071466,537381.9779999997,10424.999999999996
Tianjinshi_120000,3560385.85190326,16505801.933655975,201900.3410000001,4894.799999999999
Dezhoushi_371400,3570265.7419451484,6260724.30450201,417618.3929999995,8688.200000000006
Jingzhoushi_421000,3570747.14774088,5048528.007999897,1544764.2449999976,27991.300000000017
Suizhoushi_421300,3574466.518675894,1876106.420516968,1372307.580999998,23786.50000000002
Hezeshi_371700,3577053.888200063,8496548.46367979,719742.1690000005,13960.600000000006
Huaihuashi_431200,3577256.772459902,4794951.7167954445,2122187.762999999,36643.299999999974
Zhoukoushi_411600,3577878.6102050124,8033584.247490168,869558.9530000004,16076.200000000024
Hechishi_451200,3585750.6647324115,3087079.5809650416,2717206.906999999,46009.999999999854
Shangqiushi_411400,3605003.2309341417,6892977.523938179,826215.1659999994,15675.600000000019
Tangshanshi_130200,3622335.3030686257,7976681.030059218,206815.94400000002,6254.499999999998
Xinyangshi_411500,3630556.230457977,5575700.435856581,1213201.017999996,21155.00000000002
Jiningshi_370800,3636575.174106841,8798155.998080969,668540.3729999994,12386.999999999998
Tianmenshi_429006,3641088.659221461,1474725.5854244232,1532567.5649999972,26565.000000000022
Qianjiangshi_429005,3650335.94985433,839345.0242853165,1533076.2119999975,27058.000000000036
Taianshi_370900,3650897.658868001,5670240.86445713,612155.0229999992,11564.699999999997
Yiyangshi_430900,3654286.828966919,4229768.14991951,1788896.949,32225.600000000017
Jinanshi_370100,3658842.7778176586,7633725.377641916,497503.49599999917,9422.30000000001
Xiaoganshi_420900,3664086.358470798,4601386.339653254,1301582.6669999983,24992.000000000033
Xiantaoshi_429004,3687622.314154737,967122.761259794,1469936.420999998,27767.200000000066
Binzhoushi_371600,3694034.26281965,4000454.598196268,493234.7869999993,10419.600000000004
Loudishi_431300,3694601.067454072,3729401.249190331,1912413.4639999997,33364.20000000002
