Location,distance_from_Beijing,population,Total_route_length_m,travel_time_S
Tongliaoshi_150500,3696935.990316418,3246610.565872237,846764.6520000005,21199.9
Yueyangshi_430600,3701556.923024773,6044432.787023782,1635760.427,29453.300000000003
Shaoyangshi_430500,3702580.0346443774,7088197.830705166,2071399.1949999991,37586.99999999992
Fuyangshi_341200,3706012.16309904,7292449.676030159,1023684.2699999998,19384.300000000017
Liuzhoushi_450200,3708733.2042057416,4127042.53903985,2453266.218,42664.29999999988
Bozhoushi_341600,3720616.353009181,4803801.857208252,1033349.8909999998,20032.900000000012
Qinhuangdaoshi_130300,3725935.176390191,3152923.984348297,306996.92,7798.7
Zhaoyangshi_211300,3729980.490452313,3053989.06106779,452972.6680000001,9359.000000000004
Xinganmeng_152200,3733308.945125215,1567374.4814848304,1188376.4930000014,22007.899999999987
Ziboshi_370300,3747758.373556103,4985486.620795488,566609.1689999992,11636.100000000002
Xuzhoushi_320300,3752659.673578043,8113360.850665331,842332.6749999997,15832.800000000028
Wuhanshi_420100,3756095.8833243977,11630317.558193922,1380877.836999998,25539.100000000035
Guilinshi_450300,3758691.657261409,4869520.525184631,2307810.1519999993,40115.99999999986
Changshashi_430100,3767258.950625864,8164556.920244694,1746272.4030000025,31192.100000000002
Huanggangshi_421100,3770774.705627784,5898089.525819898,1374656.631000004,26667.400000000045
Zaozhuangshi_370400,3775233.542177284,3915968.022662163,794953.8439999998,14349.200000000015
Dongyingshi_370500,3777603.702391113,2254908.413056016,522517.6169999993,10500.300000000003
Chongzuoshi_451400,3781691.586379584,2342881.208982229,2931715.641000004,49510.999999999854
Huludaoshi_211400,3785116.026488891,2361545.744226694,508957.51000000024,10478.700000000013
Xianningshi_421200,3791395.4968595896,2312625.791946888,1501080.0049999976,28534.30000000002
Xiangtanshi_430300,3797775.670713223,2713949.0035102367,1890854.0239999995,32455.200000000015
Nanningshi_450100,3807110.7678854433,7067225.240400791,2729749.570999999,46196.39999999983
Huaibeishi_340600,3815297.968083472,2337810.3193421364,909032.1719999998,18427.900000000038
Laibinshi_451300,3816778.949385421,2008876.0480716228,2549507.958999997,44780.899999999834
Yongzhoushi_431100,3818172.261111636,5007429.018168926,2234969.0260000015,39098.89999999989
Linyishi_371300,3823793.306979992,10056065.85886526,802235.862,14391.800000000017
Hengyangshi_430400,3831337.8960210825,7408733.979924679,1938167.2280000001,34876.7
Weifangshi_370700,3838429.393042045,9639713.080731869,659614.7779999995,13338.600000000006
Luanshi_341500,3841419.568352861,5406177.921385765,1192960.571000003,21354.00000000002
Ezhoushi_420700,3841896.572784744,917217.7610998154,1371217.8070000038,26922.200000000044
Huainanshi_340400,3863511.076275347,2379018.263010025,1043667.2869999998,20983.60000000001
Huangshishi_420200,3868372.073618303,2105778.9665341377,1421682.0520000046,27935.500000000033
Jiujiangshi_360400,3881201.971406828,4900927.046776294,1570933.0310000041,30276.80000000005
Bengbushi_340300,3887309.996448877,2985542.158106804,1024486.2799999998,21317.80000000001
Zhuzhoushi_430200,3887976.626903856,4299574.207071781,1887761.618999999,35443.6
Jinzhoushi_210700,3930035.603390012,3093574.694830537,584501.6710000007,12021.800000000001
Fangchenggangshi_450600,3933065.913327489,833572.4546432494,2955566.4440000015,51730.29999999987
Rizhaoshi_371100,3936530.4047069466,2689361.88472867,810877.9059999998,16374.700000000015
Fuxinshi_210900,3937087.671505662,1796658.9713498354,668987.3830000007,14587.30000000002
Hefeishi_340100,3937217.966734458,8576748.528220654,1178126.7790000024,23137.60000000001
Anqingshi_340800,3940844.1907154666,5501119.82296753,1419832.157000005,24954.600000000028
Wuzhoushi_450400,3942505.55461366,2974327.4746541977,2594494.6489999974,45737.79999999982
Guigangshi_450800,3945473.246718744,4407420.146422625,2658192.441999996,45482.39999999981
Pingxiangshi_360300,3946952.711157248,2015410.673629284,1834842.7159999995,34996.5
Hezhoushi_451100,3951374.140322159,1972415.910815239,2390954.4350000024,42369.89999999988
Chenzhoushi_431000,3954363.580002335,4927508.37253189,2082976.6260000009,36509.499999999935
Chuzhoushi_341100,3956013.045646711,3967066.3648278713,1108408.6910000006,21493.699999999997
Suqianshi_321300,3956195.187118665,4459885.576781988,1068240.4729999988,19432.5
Yantaishi_370600,3959716.061586928,6719726.819449663,849685.6390000003,15937.90000000002
Baichengshi_220800,3962214.831942546,1977455.2891552448,1451924.0240000011,26853.300000000043
Qingdaoshi_370200,3967112.154423913,9414383.247399569,799848.2559999999,15912.100000000017
Lianyungangshi_320700,3969688.833106969,4145975.100821972,900521.2429999999,17274.30000000002
Qinzhoushi_450700,3976583.752251784,3087334.731133461,2770223.1110000005,47367.99999999987
Jianshi_360800,4016250.6007873896,5229944.744581699,1963879.995000001,35897.50000000001
Xinyushi_360500,4016503.774847855,1211464.6629891396,1811511.4700000063,33958.700000000026
Panjinshi_211100,4025293.21361233,1442039.0959374905,629227.6740000002,12350.000000000002
Qingyuanshi_441800,4027256.635110982,4048630.451989174,2325085.476000002,44091.09999999989
Nanchangshi_360100,4031464.93080835,5938411.558449744,1725512.2240000004,31544.599999999984
Huaianshi_320800,4034498.867626572,4483263.565946817,1056826.1989999989,19130.200000000008
Dalianshi_210200,4047895.714088479,6342456.263155937,904929.3400000002,18108.4
Qiqihaershi_230200,4054916.545261551,5353790.53446734,1716939.264000001,30576.400000000012
Beihaishi_450500,4064718.674048927,1548265.4762935638,2846505.3160000006,47471.89999999988
Daxinganlingdiqu_232700,4070793.033017862,287717.35502898693,2451598.2209999943,53716.69999999996
Shaoguanshi_440200,4072788.691938684,2930801.006807804,2284916.8520000027,40288.99999999986
Chizhoushi_341700,4073744.806042028,1418781.3256998062,1539273.7540000034,27307.999999999985
Zhaoqingshi_441200,4078990.385723276,4389221.17591095,2453541.7730000014,44001.299999999894
Anshanshi_210300,4080217.89334338,3525686.809744239,711534.6929999997,16373.800000000005
Maanshanshi_340500,4087107.2216627295,2275662.1266868114,1238599.3500000015,25025.399999999994
Wuhushi_340200,4087674.402457951,3414659.6729984283,1358536.7840000044,25993.59999999997
Shangraoshi_361100,4089899.852767244,7230368.704909325,1810685.1170000008,31916.79999999998
Yingkoushi_210800,4092099.880708704,2482606.459097981,720807.1269999996,14283.600000000006
Shenyangshi_210100,4093677.191738576,9221428.972453296,814715.7300000006,15105.900000000018
Yanchengshi_320900,4103731.053549296,6718542.6135391,1064359.4999999995,20302.70000000001
Nanjingshi_320100,4104906.2985002254,10541162.760114431,1239370.451000001,23564.49999999998
Tonglingshi_340700,4114416.9637274826,766680.458013773,1335660.235000004,26652.200000000004
Yunfushi_445300,4117770.824035435,2511605.9878525734,2571339.506999997,46634.99999999982
Yangzhoushi_321000,4120131.811733767,4397174.697696924,1143539.5730000008,20121.600000000002
Ganzhoushi_360700,4120387.652263114,9486849.50271988,2245935.8219999997,38287.19999999996
Jingdezhenshi_360200,4126102.628755159,1740834.91369915,1681625.340000001,29484.199999999983
Weihaishi_371000,4128944.388378713,2563930.562025785,946294.3469999996,17323.400000000012
Maomingshi_440900,4131243.0629334208,6364373.380271912,2767609.0950000007,48901.499999999854
Songyuanshi_220700,4132076.592990476,2996397.983472705,1217133.718000002,21799.09999999998
Zhanjiangshi_440800,4132411.438958797,7259407.228891372,3025537.057000001,51084.09999999989
Huangshanshi_341000,4132437.459287109,1351177.6991717815,1695858.9380000008,29967.299999999985
Liaoyangshi_211000,4133294.575322448,2203957.933285713,743678.9139999995,15045.600000000006
Sipingshi_220300,4162747.384432239,3471626.34535116,1022055.8640000004,20224.799999999996
Xuanchengshi_341800,4170541.5291419607,2393394.264800787,1445008.835000004,28371.299999999977
Zhenjiangshi_321100,4178961.802362302,3336800.006526232,1248898.3340000014,23531.999999999978
Daqingshi_230600,4197969.943688357,3370662.9977651834,1401486.9420000012,29453.900000000038
Yingtanshi_360600,4198071.774278807,1249000.3011431694,1814346.8370000008,31738.999999999978
Tielingshi_211200,4200191.260249779,2510474.547502339,888129.9160000007,16432.3
Yangjiangshi_441700,4205266.71723448,2593427.45667696,2705097.313999999,47913.299999999814
Foshanshi_440600,4216539.294479909,8885413.074063301,2514953.2779999995,45276.99999999984
Changzhoushi_320400,4224486.276270816,5535662.409371614,1304792.7510000037,24578.699999999968
Guangzhoushi_440100,4227794.688730436,16767793.323467731,2474450.2579999994,44610.999999999854
Benxishi_210500,4236484.619444477,1800518.5142564774,906448.5320000005,16588.500000000004
Fushunshi_210400,4240245.977562664,2071638.1075994968,898007.5120000006,17185.8
Dandongshi_210600,4249409.133080241,1936064.1328140493,1042588.5410000004,20234.099999999995
Jiangmenshi_440700,4253073.254892025,4734394.606990814,2638832.5939999963,47685.89999999982
Heyuanshi_441600,4255643.537597086,3794470.578820228,2510684.5789999906,42259.79999999989
Quzhoushi_330800,4256915.86476194,2147173.862197876,1767458.2210000053,32350.799999999945
Danzhoushi_460400,4261090.495055288,968346.8938102722,3154314.558000003,54128.39999999988
Nantongshi_320600,4262939.911388496,6678797.65051508,1296763.1330000036,23693.89999999998
Nanpingshi_350700,4268445.215367739,2483824.617524385,2044070.1219999997,35566.09999999999
Changjianglizuzizhixian_469026,4269151.349051472,238027.4786567688,3153723.449000003,53920.49999999988
Hangzhoushi_330100,4269315.652841351,10389630.151901484,1641627.4800000065,31638.499999999964
Wuxishi_320200,4269607.01182529,7957573.653803349,1342474.4920000045,24600.89999999997
Dongfangshi_469007,4273218.09264777,410633.8650999069,3153723.449000003,53920.49999999988
Lingaoxian_469024,4275967.65322075,443321.9559688568,3154314.558000003,54128.39999999988
Sanmingshi_350400,4279459.747008233,2448915.894880057,2206996.937000001,37957.49999999998
Baishalizuzizhixian_469025,4283454.222261511,179411.28216171265,3154314.558000003,54128.39999999988
Huizhoushi_441300,4286306.4886356825,6860549.202513218,2637696.3809999907,45002.9999999999
Huzhoushi_330500,4287173.870007015,3040137.877990008,1469245.194000004,29294.399999999983
Changchunshi_220100,4290045.164203726,8312476.041438222,1167217.579000002,21242.099999999995
Chengmaixian_469023,4296708.42524792,493273.071185112,3154314.558000003,54128.39999999988
Zhongshanshi_442000,4308099.810376228,3782880.185365677,2575853.301999997,45649.29999999983
Dongguanshi_441900,4309498.709739517,8564106.35985279,2573379.347999997,45821.699999999844
Haikoushi_460100,4310984.240836686,2549099.66312027,3140719.543000003,52799.59999999988
Longyanshi_350800,4313587.916499852,2444869.326018333,2239152.1189999986,38889.29999999997
Suihuashi_231200,4325155.060639263,5635429.814770341,1523728.5410000016,28802.700000000008
Heiheshi_231100,4326179.219713754,1611071.9829954507,1877571.528000002,38389.50000000001
Ledonglizuzizhixian_469027,4330320.983966313,469440.90321064,3154314.558000003,54128.39999999988
Qiongzhonglizumiaozuzizhixian_469030,4332863.090233547,185959.1976547241,3154314.558000003,54128.39999999988
Zhuhaishi_440400,4334003.1355022825,1400347.269981861,2610986.054999996,46097.599999999824
Sanshashi_460300,4337394.974345399,572989.1273856163,3149569.621000003,53999.39999999988
Liaoyuanshi_220400,4343741.65682826,1061981.555111766,1044118.8630000007,18701.199999999997
Dinganxian_469021,4344466.911100795,292580.4767489433,3140199.482000003,52674.69999999988
Tunchangxian_469022,4345714.913006515,276019.15508651733,3140199.482000003,52674.69999999988
Wuzhishanshi_469001,4348900.84327472,78911.68664693832,3154314.558000003,54128.39999999988
Shenzhenshi_440300,4355460.071227506,14637518.81181717,2740828.1049999907,46325.7999999999
Meizhoushi_441400,4356618.852677267,4697626.827642918,2378677.6299999943,40406.99999999992
Lishuishi_331100,4371671.13386748,2021591.1550381184,1939571.4150000059,35621.39999999995
Jinhuashi_330700,4373405.513858074,6279291.226139069,1778204.813000006,33825.49999999994
Sanyashi_460200,4379569.666485081,903601.2514772416,3154314.558000003,54128.39999999988
Qionghaishi_469002,4384886.175011123,512305.7664246559,3140719.543000003,52799.59999999988
Baotinglizumiaozuzizhixian_469029,4387052.161343826,191801.3688354492,3154314.558000003,54128.39999999988
Lingshuilizuzizhixian_469028,4396028.704281633,331835.668905735,3154314.558000003,54128.39999999988
Jiaxingshi_330400,4397341.157151872,5562342.307675362,1464984.148000004,27973.199999999953
Tonghuashi_220500,4401388.600387283,2301755.3634086847,1101611.9789999996,20941.39999999999
Shaoxingshi_330600,4403298.147239257,5362592.344079971,1618027.514000006,31391.099999999977
Wanningshi_469006,4403332.843633092,573878.7792634964,3140199.482000003,52674.69999999988
Shanghaishi_310000,4410140.855471215,30990581.62995529,1410210.0130000033,26573.799999999967
Haerbinshi_230100,4413639.684055604,12047502.551062942,1467421.1590000018,28202.500000000022
Jilinshi_220200,4429443.407921184,4428350.038580716,1233120.2730000024,24607.00000000001
Shanweishi_441500,4438231.223204935,3296303.6011095047,2655398.8829999897,45266.0999999999
Jieyangshi_445200,4449125.04824565,6336187.793626308,2567934.656999989,43241.09999999987
Ningdeshi_350900,4470937.6993475575,2426302.1770176888,2114972.943000003,40418.59999999985
Zhangzhoushi_350600,4472920.359985609,4840821.185439348,2448339.5419999915,42209.39999999989
Quanzhoushi_350500,4482297.431822042,8534865.636612415,2408692.7509999927,41810.19999999989
Ningboshi_330200,4483613.561898314,8767060.850094318,1644274.140000006,31853.099999999962
Chaozhoushi_445100,4495141.821496096,2787694.303616047,2564462.951999989,44168.89999999985
Baishanshi_220600,4506140.462150491,1185230.8259958029,1209777.5800000017,22239.799999999992
Wenzhoushi_330300,4509809.6809252,9588293.859657764,1966751.6450000054,36602.69999999997
Shantoushi_440500,4512005.697711014,5977552.521266938,2550892.120999989,43684.69999999985
Putianshi_350300,4542272.2743831305,2540352.9668364525,2455639.2409999925,43525.899999999856
Xiamenshi_350200,4544325.659442164,4891272.981667519,2493517.744999991,42907.29999999987
Zhoushanshi_330900,4584155.815378275,642327.4013638496,1675060.6410000054,34099.79999999995
Yanbianchaoxianzuzizhizhou_222400,4634131.385094452,2262925.011859,1431368.3320000013,25012.50000000001
Mudanjiangshi_231000,4692972.109302563,2871188.0889608264,1588925.474000001,28887.900000000027
Jiamusishi_230800,4838727.35776512,2737813.865146637,1891698.2130000014,32737.19999999999
Hegangshi_230400,4865629.023283655,1047796.474775076,1844357.2920000025,34595.999999999985
Qitaiheshi_230900,4903734.777287199,1028425.8834786416,1863260.5740000021,34070.00000000002
Jixishi_230300,4938993.566577442,1769501.8685784936,1900959.0160000024,34425.900000000016
Shuangyashanshi_230500,4969515.512123498,1461189.3787828088,1949078.658000002,37468.29999999999
