Location,Hour,Min
Kelamayishi_650200,10,17
Changjihuizuzizhizhou_652300,28,0
Boertalamengguzizhizhou_652700,32,0
Shihezishi_659001,28,0
Yilihasakezizhizhou_654000,35,0
Hamishi_650500,21,58
Kezileisukeerkezizizhizhou_653000,38,0
Kashidiqu_653100,39,0
Jiuquanshi_620900,20,44
Naqushi_540600,51,0
Alidiqu_542500,68,0
Zhangyeshi_620700,19,34
Jiayuguanshi_620200,20,56
Haibeizangzuzizhizhou_632200,21,50
Guoluozangzuzizhizhou_632600,27,0
Hainanzangzuzizhizhou_632500,19,57
Lasashi_540100,48,0
Jinchangshi_620300,17,15
Wuweishi_620600,17,3
Xiningshi_630100,18,37
Changdoushi_540300,41,0
Haidongshi_630200,17,31
Huangnanzangzuzizhizhou_632300,22,19
Shannanshi_540500,52,0
Bayannaoershi_150800,11,14
Lanzhoushi_620100,15,56
Baiyinshi_620400,14,41
Linxiahuizuzizhizhou_622900,17,53
Zhongweishi_640500,13,22
Dingxishi_621100,17,19
Abazangzuqiangzuzizhizhou_513200,25,0
Yinchuanshi_640100,11,54
Shizuishanshi_640200,11,8
Eerduosishi_150600,9,15
Wuzhongshi_640300,12,40
Wuhaishi_150300,10,34
Guyuanshi_640400,15,13
Longnanshi_621200,17,26
Tianshuishi_620500,15,37
Pingliangshi_620800,15,13
Qingyangshi_621000,13,14
Baotoushi_150200,8,38
Mianyangshi_510700,18,18
Nujianglisuzuzizhizhou_533300,36,0
Yananshi_610600,10,47
Wulanchabushi_150900,6,39
Yaanshi_511800,22,25
Baojishi_610300,12,46
Guangyuanshi_510800,17,2
Liangshanyizuzizhizhou_513400,24,0
Chengdushi_510100,19,30
Deyangshi_510600,18,37
Huhehaoteshi_150100,5,38
Hanzhongshi_610700,14,17
Xilinguoleimeng_152500,9,21
Xianyangshi_610400,13,12
Lijiangshi_530700,33,0
Meishanshi_511400,20,19
Leshanshi_511100,22,20
Ziyangshi_512000,19,45
Nanchongshi_511300,17,19
Bazhongshi_511900,17,36
Suiningshi_510900,18,14
Xianshi_610100,11,42
Xinzhoushi_140900,6,3
Tongchuanshi_610200,11,46
Neijiangshi_511000,19,54
Baoshanshi_530500,32,0
Zigongshi_510300,20,3
Ankangshi_610900,13,45
Panzhihuashi_510400,27,0
Dehongdaizujingpozuzizhizhou_533100,35,0
Weinanshi_610500,10,13
Linfenshi_141000,8,8
Shuozhoushi_140600,5,14
Yibinshi_511500,21,29
Chongqingshi_500000,18,23
Zhaotongshi_530600,22,50
Guanganshi_511600,17,57
Shangluoshi_611000,12,39
Taiyuanshi_140100,6,15
Dazhoushi_511700,16,52
Datongshi_140200,3,50
Chuxiongyizuzizhizhou_532300,28,0
Luzhoushi_510500,21,33
Yunchengshi_140800,8,59
Jinzhongshi_140700,6,41
Lincangshi_530900,35,0
Sanmenxiashi_411200,9,50
Shiyanshi_420300,16,43
Zhangjiakoushi_130700,2,41
Bijieshi_520500,22,56
Kunmingshi_530100,27,0
Qujingshi_530300,25,0
Zhangzhishi_140400,7,15
Puershi_530800,33,0
Zunyishi_520300,22,12
Yangquanshi_140300,4,18
Shijiazhuangshi_130100,3,13
Luoyangshi_410300,9,25
Jinchengshi_140500,8,26
Baodingshi_130600,2,20
Enshitujiazumiaozuzizhizhou_422800,15,49
Yuxishi_530400,29,0
Jiyuanshi_419001,8,9
Liupanshuishi_520200,26,0
Nanyangshi_411300,9,40
Hulunbeiershi_150700,22,29
Shennongjialinqu_429021,14,46
Handanshi_130400,4,43
Xingtaishi_130500,4,15
Tongrenshi_520600,19,22
Jiaozuoshi_410800,6,56
Qianxinanbuyizumiaozuzizhizhou_522300,24,0
Chengdeshi_130800,3,48
Honghehanizuyizuzizhizhou_532500,29,0
Xiangyangshi_420600,11,14
Guiyangshi_520100,20,54
Anyangshi_410500,5,31
Anshunshi_520400,22,45
Chifengshi_150400,6,45
Yichangshi_420500,13,21
Zhengzhoushi_410100,7,28
Pingdingshanshi_410400,8,20
Xinxiangshi_410700,6,10
Qiannanbuyizumiaozuzizhizhou_522700,22,26
Xiangxitujiazumiaozuzizhizhou_433100,16,48
Hebishi_410600,5,34
Xishuangbannadaizuzizhizhou_532800,33,0
Xuchangshi_411000,7,51
Zhangjiajieshi_430800,16,38
Hengshuishi_131100,3,9
Wenshanzhuangzumiaozuzizhizhou_532600,28,0
Baiseshi_451000,26,0
Qiandongnanmiaozudongzuzizhizhou_522600,20,31
Langfangshi_131000,1,30
Cangzhoushi_130900,2,44
Changdeshi_430700,14,20
Kaifengshi_410200,7,3
Jingmenshi_420800,12,19
Zhumadianshi_411700,8,46
Puyangshi_410900,5,53
Liaochengshi_371500,4,57
Tianjinshi_120000,1,30
Dezhoushi_371400,4,4
Jingzhoushi_421000,12,45
Suizhoushi_421300,10,38
Hezeshi_371700,6,22
Huaihuashi_431200,17,37
Zhoukoushi_411600,8,8
Hechishi_451200,23,7
Shangqiushi_411400,7,28
Tangshanshi_130200,2,40
Xinyangshi_411500,9,56
Jiningshi_370800,6,37
Tianmenshi_429006,11,51
Qianjiangshi_429005,12,14
Taianshi_370900,5,26
Yiyangshi_430900,15,8
Jinanshi_370100,4,30
Xiaoganshi_420900,11,27
Xiantaoshi_429004,12,26
Binzhoushi_371600,4,0
Loudishi_431300,16,17
Tongliaoshi_150500,9,18
Yueyangshi_430600,13,42
Shaoyangshi_430500,17,50
Fuyangshi_341200,9,19
Liuzhoushi_450200,21,30
Bozhoushi_341600,8,44
Qinhuangdaoshi_130300,3,24
Zhaoyangshi_211300,5,9
Xinganmeng_152200,14,39
Ziboshi_370300,5,14
Xuzhoushi_320300,7,23
Wuhanshi_420100,11,36
Guilinshi_450300,19,50
Changshashi_430100,14,36
Huanggangshi_421100,12,1
Zaozhuangshi_370400,6,30
Dongyingshi_370500,4,22
Chongzuoshi_451400,25,0
Huludaoshi_211400,5,32
Xianningshi_421200,13,41
Xiangtanshi_430300,15,27
Nanningshi_450100,24,0
Huaibeishi_340600,8,15
Laibinshi_451300,21,41
Yongzhoushi_431100,19,31
Linyishi_371300,6,27
Hengyangshi_430400,16,19
Weifangshi_370700,5,45
Luanshi_341500,10,14
Ezhoushi_420700,12,21
Huainanshi_340400,9,38
Huangshishi_420200,13,1
Jiujiangshi_360400,14,30
Bengbushi_340300,9,14
Zhuzhoushi_430200,15,52
Jinzhoushi_210700,7,1
Fangchenggangshi_450600,26,0
Rizhaoshi_371100,7,6
Fuxinshi_210900,7,3
Hefeishi_340100,10,15
Anqingshi_340800,11,54
Wuzhoushi_450400,21,39
Guigangshi_450800,22,8
Pingxiangshi_360300,16,14
Hezhoushi_451100,19,45
Chenzhoushi_431000,17,30
Chuzhoushi_341100,9,33
Suqianshi_321300,8,30
Yantaishi_370600,6,51
Baichengshi_220800,12,34
Qingdaoshi_370200,6,22
Lianyungangshi_320700,7,50
Qinzhoushi_450700,23,50
Jianshi_360800,15,59
Xinyushi_360500,15,26
Panjinshi_211100,6,4
Qingyuanshi_441800,20,54
Nanchangshi_360100,14,26
Huaianshi_320800,9,17
Dalianshi_210200,8,51
Qiqihaershi_230200,15,6
Beihaishi_450500,24,0
Daxinganlingdiqu_232700,26,0
Shaoguanshi_440200,19,7
Chizhoushi_341700,13,7
Zhaoqingshi_441200,20,41
Anshanshi_210300,7,10
Maanshanshi_340500,10,24
Wuhushi_340200,11,16
Shangraoshi_361100,15,26
Yingkoushi_210800,7,27
Shenyangshi_210100,7,54
Yanchengshi_320900,9,12
Nanjingshi_320100,10,23
Tonglingshi_340700,11,30
Yunfushi_445300,22,9
Yangzhoushi_321000,10,22
Ganzhoushi_360700,18,35
Jingdezhenshi_360200,14,9
Weihaishi_371000,8,14
Maomingshi_440900,23,3
Songyuanshi_220700,10,15
Zhanjiangshi_440800,24,0
Huangshanshi_341000,13,44
Liaoyangshi_211000,7,8
Sipingshi_220300,10,11
Xuanchengshi_341800,12,13
Zhenjiangshi_321100,10,43
Daqingshi_230600,13,4
Yingtanshi_360600,15,28
Tielingshi_211200,8,31
Yangjiangshi_441700,22,22
Foshanshi_440600,21,10
Changzhoushi_320400,11,10
Guangzhoushi_440100,20,56
Benxishi_210500,10,18
Fushunshi_210400,8,36
Dandongshi_210600,10,3
Jiangmenshi_440700,22,25
Heyuanshi_441600,20,17
Quzhoushi_330800,14,48
Danzhoushi_460400,29,0
Nantongshi_320600,10,46
Nanpingshi_350700,17,2
Changjianglizuzizhixian_469026,30,0
Hangzhoushi_330100,13,41
Wuxishi_320200,11,39
Dongfangshi_469007,31,0
Lingaoxian_469024,28,0
Sanmingshi_350400,18,26
Baishalizuzizhixian_469025,31,0
Huizhoushi_441300,21,5
Huzhoushi_330500,12,28
Changchunshi_220100,11,26
Chengmaixian_469023,29,0
Zhongshanshi_442000,21,54
Dongguanshi_441900,21,36
Haikoushi_460100,28,0
Longyanshi_350800,18,47
Suihuashi_231200,13,56
Heiheshi_231100,17,55
Ledonglizuzizhixian_469027,30,0
Qiongzhonglizumiaozuzizhixian_469030,29,0
Zhuhaishi_440400,29,0
Liaoyuanshi_220400,10,8
Dinganxian_469021,29,0
Tunchangxian_469022,29,0
Wuzhishanshi_469001,30,0
Shenzhenshi_440300,21,28
Meizhoushi_441400,19,54
Lishuishi_331100,16,47
Jinhuashi_330700,14,53
Sanyashi_460200,31,0
Qionghaishi_469002,29,0
Baotinglizumiaozuzizhixian_469029,31,0
Lingshuilizuzizhixian_469028,30,0
Jiaxingshi_330400,12,18
Tonghuashi_220500,10,34
Shaoxingshi_330600,14,15
Wanningshi_469006,30,0
Shanghaishi_310000,12,7
Haerbinshi_230100,13,54
Jilinshi_220200,12,26
Shanweishi_441500,22,1
Jieyangshi_445200,21,13
Ningdeshi_350900,18,41
Zhangzhoushi_350600,20,29
Quanzhoushi_350500,19,44
Ningboshi_330200,13,39
Chaozhoushi_445100,21,47
Baishanshi_220600,12,14
Wenzhoushi_330300,16,46
Shantoushi_440500,21,50
Putianshi_350300,20,45
Xiamenshi_350200,20,22
Zhoushanshi_330900,14,22
Yanbianchaoxianzuzizhizhou_222400,13,30
Mudanjiangshi_231000,14,49
Jiamusishi_230800,17,38
Hegangshi_230400,19,15
Qitaiheshi_230900,16,37
Jixishi_230300,17,46
Shuangyashanshi_230500,19,14